ingredient,category
Linolenic Acid,barrierrepair
Oleic Acid,barrierrepair
Palmitic Acid,barrierrepair
Stearic Acid,barrierrepair
Aloe Barbadensis Leaf Juice,soothing
Aloe Vera Extract,soothing
Calendula Officinalis Flower Extract,soothing
Chamomilla Recutita Flower Extract,soothing
Colloidal Oatmeal,soothing
Houttuynia Cordata Extract,"soothing, oilcontrol"
Madecassic Acid,soothing
Portulaca Oleracea Extract,soothing
Bentonite,oilcontrol
Camellia Sinensis Leaf Extract (Green Tea),"oilcontrol, antioxidant"
Green Tea Extract,"oilcontrol, antioxidant"
Kaolin,oilcontrol
Magnesium Aluminum Silicate,oilcontrol
Melaleuca Alternifolia Leaf Oil,oilcontrol
Silica,oilcontrol
Talc,oilcontrol
Witch Hazel Extract,oilcontrol
Alpha Lipoic Acid,antioxidant
Astaxanthin,antioxidant
Beta-Carotene,antioxidant
Catalase,antioxidant
Curcuma Longa Root Extract,antioxidant
Curcuma Longa Root Extract (Turmeric),antioxidant
Epigallocatechin Gallate (EGCG),antioxidant
Glutathione,antioxidant
Lycopene,antioxidant
Punica Granatum Extract (Pomegranate),antioxidant
Superoxide Dismutase,antioxidant
Ubiquinone,antioxidant
Ubiquinone (Coenzyme Q10),antioxidant
Vitamin E,antioxidant
Vitis Vinifera Seed Extract,antioxidant
Vitis Vinifera Seed Extract (Grape Seed),antioxidant
